checkpoint,topology,reml,bic,edf,deviance
SFT_OLMO3_32B_TRAJ_SFT_5e-5-step10790,line_s(t),7258.467345320143,44840.79995967215,34.01332557333195,44628.88056571705
SFT_OLMO3_32B_TRAJ_SFT_5e-5-step10790,curved_s(mds1),6216.5738743437205,37817.72026210371,37.94667126513497,37581.29423078892
SFT_OLMO3_32B_TRAJ_SFT_5e-5-step10790,"plane_te(t,mds2)",6400.645006545272,30835.476039833273,93.33466433327578,30253.956145288837
SFT_OLMO3_32B_TRAJ_SFT_5e-5-step10790,sheet_te(mds),5649.745964012432,23766.767195553402,130.50618464077007,22953.650833354834
SFT_OLMO3_32B_TRAJ_SFT_5e-5-step10790,sheet_duchon,5393.362687059706,22757.899104829965,132.8872548940157,21929.94752859317
nvme_results_OLMO3_32B_TRAJ_DPO_main,line_s(t),7288.775226556944,46651.371468713434,35.167337581611406,46432.26202435048
nvme_results_OLMO3_32B_TRAJ_DPO_main,curved_s(mds1),6511.115657716889,40269.556895034846,50.38885908284051,39955.61004335456
nvme_results_OLMO3_32B_TRAJ_DPO_main,"plane_te(t,mds2)",6169.49706352023,27935.106111260244,123.7857823416341,27163.861090906703
nvme_results_OLMO3_32B_TRAJ_DPO_main,sheet_te(mds),5071.851620570711,23447.267987235286,134.57179812892866,22608.820895625715
nvme_results_OLMO3_32B_TRAJ_DPO_main,sheet_duchon,5033.931949212329,23012.24915195731,142.5654398220976,22123.99782407986
nvme_results_OLMO3_32B_TRAJ_RL31_step_2300,line_s(t),7684.454675407625,46164.13615671691,67.12160651112562,45745.936232617685
nvme_results_OLMO3_32B_TRAJ_RL31_step_2300,curved_s(mds1),6525.382398794805,39768.789371895706,45.65869230322563,39484.31373657976
nvme_results_OLMO3_32B_TRAJ_RL31_step_2300,"plane_te(t,mds2)",6240.871979453875,28886.32835750147,109.90432503954281,28201.571499333957
nvme_results_OLMO3_32B_TRAJ_RL31_step_2300,sheet_te(mds),5173.889874463728,23686.344543300347,133.55285425657843,22854.24596258358
nvme_results_OLMO3_32B_TRAJ_RL31_step_2300,sheet_duchon,5139.117236680422,23192.835196442284,140.08050297643567,22320.06622148014
nvme_results_OLMO3_32B_TRAJ_RL_step_750,line_s(t),7291.157849804108,46719.99059349912,35.15693953431861,46500.9459339769
nvme_results_OLMO3_32B_TRAJ_RL_step_750,curved_s(mds1),6535.748863341839,40111.11499650201,45.44840821922589,39827.94953227015
nvme_results_OLMO3_32B_TRAJ_RL_step_750,"plane_te(t,mds2)",6200.369912249547,28229.746809344622,122.49970144708436,27466.514692144658
nvme_results_OLMO3_32B_TRAJ_RL_step_750,sheet_te(mds),5101.466054996266,23505.79284058098,134.26942355032804,22669.229688173607
nvme_results_OLMO3_32B_TRAJ_RL_step_750,sheet_duchon,5063.774807090822,23011.53209994219,139.87809388360742,22140.02423107773
nvme_results_OLMO3_32B_TRAJ_stage1-step1000,line_s(t),15457.178273927033,26792958.17612917,26.487718113855962,26792793.14489287
nvme_results_OLMO3_32B_TRAJ_stage1-step1000,curved_s(mds1),14883.942795937199,23372641.172836885,50.77101347211216,23372324.844979372
nvme_results_OLMO3_32B_TRAJ_stage1-step1000,"plane_te(t,mds2)",14547.107012943416,19287541.971997004,71.32798836796258,19287097.564288788
nvme_results_OLMO3_32B_TRAJ_stage1-step1000,sheet_te(mds),13600.107543463218,14822851.1727309,104.60604207896864,14822199.426726423
nvme_results_OLMO3_32B_TRAJ_stage1-step1000,sheet_duchon,13584.059518135124,14978792.048448183,86.84421805255141,14978250.967158776
nvme_results_OLMO3_32B_TRAJ_stage1-step128000,line_s(t),6916.32027155192,30677.33782145453,46.61875115940753,30386.88055724656
nvme_results_OLMO3_32B_TRAJ_stage1-step128000,curved_s(mds1),6012.706558268702,25870.3763903245,37.04859702593748,25639.545793895588
nvme_results_OLMO3_32B_TRAJ_stage1-step128000,"plane_te(t,mds2)",6022.792703105669,22183.46678940986,82.65185305138397,21668.50595236523
nvme_results_OLMO3_32B_TRAJ_stage1-step128000,sheet_te(mds),5295.498816858766,16273.846211995582,110.90940003758021,15582.827252699379
nvme_results_OLMO3_32B_TRAJ_stage1-step128000,sheet_duchon,5110.473202043649,16188.340826597276,119.08432096318623,15446.388174138661
nvme_results_OLMO3_32B_TRAJ_stage3-step11921,line_s(t),7307.91117919426,46629.516892994536,32.24124923959525,46428.63838776048
nvme_results_OLMO3_32B_TRAJ_stage3-step11921,curved_s(mds1),6385.935334952286,35804.48004451909,46.87321185544546,35512.43736766532
nvme_results_OLMO3_32B_TRAJ_stage3-step11921,"plane_te(t,mds2)",6317.513829786679,33154.200218558406,89.675651590472,32595.47773502445
nvme_results_OLMO3_32B_TRAJ_stage3-step11921,sheet_te(mds),5391.689424868409,22873.969430774818,97.72443538446282,22265.09914913684
nvme_results_OLMO3_32B_TRAJ_stage3-step11921,sheet_duchon,5367.737088770674,22540.456327153577,98.21097265489264,21928.55468407863
