order,label,layer,n_pair,self_coord,self_ci_lo,self_ci_hi,ai_author,human_author,qualia_auc,auc_perm_p
18,OLMO3_32B_TRAJ__stage1-step32000,25,254,0.7477,0.5648,0.8863,0.5982,0.7627,0.9742,0.0
16,OLMO3_32B_TRAJ__stage1-step2000,25,254,0.445,0.1771,0.7606,0.2977,0.8239,0.9221,0.0
20,OLMO3_32B_TRAJ__stage1-step5000,25,254,0.8849,-0.354,1.7885,0.7542,0.7675,0.9355,0.0
19,OLMO3_32B_TRAJ__stage1-step400000,25,254,0.6827,0.5243,0.7997,0.5515,0.8136,0.9848,0.0
1,OLMO3_32B_TRAJ_SFT__5e-5-step1000,25,254,0.6346,0.5082,0.7358,0.4686,0.8479,0.9852,0.0
7,OLMO3_32B_TRAJ_SFT__5e-5-step5000,25,254,0.6236,0.4901,0.7265,0.4688,0.8744,0.9843,0.0
11,OLMO3_32B_TRAJ_SFT__5e-5-step9000,25,254,0.6096,0.4814,0.7112,0.4787,0.856,0.9867,0.0
12,OLMO3_32B_TRAJ__stage1-step0,25,254,0.5762,0.2813,0.7733,-0.2555,0.0647,0.7883,0.0
5,OLMO3_32B_TRAJ_SFT__5e-5-step3000,25,254,0.6137,0.487,0.7217,0.4658,0.878,0.9851,0.0
14,OLMO3_32B_TRAJ__stage1-step128000,25,254,0.7685,0.6043,0.8681,0.6686,0.7872,0.9836,0.0
13,OLMO3_32B_TRAJ__stage1-step1000,25,254,0.4022,0.0817,0.7812,0.2885,1.0914,0.8589,0.0
2,OLMO3_32B_TRAJ_SFT__5e-5-step10000,25,254,0.6098,0.4842,0.7112,0.4785,0.8568,0.9866,0.0
9,OLMO3_32B_TRAJ_SFT__5e-5-step7000,25,254,0.6176,0.4892,0.717,0.4795,0.8498,0.9868,0.0
6,OLMO3_32B_TRAJ_SFT__5e-5-step4000,25,254,0.6128,0.4813,0.7137,0.4671,0.8803,0.9817,0.0
8,OLMO3_32B_TRAJ_SFT__5e-5-step6000,25,254,0.6165,0.4899,0.716,0.5117,0.8509,0.986,0.0
4,OLMO3_32B_TRAJ_SFT__5e-5-step2000,25,254,0.6393,0.5085,0.743,0.4793,0.8699,0.987,0.0
10,OLMO3_32B_TRAJ_SFT__5e-5-step8000,25,254,0.6011,0.4783,0.6982,0.5126,0.8445,0.9867,0.0
15,OLMO3_32B_TRAJ__stage1-step16000,25,254,0.6197,-0.2566,1.5145,0.7549,0.7947,0.841,0.0
17,OLMO3_32B_TRAJ__stage1-step256000,25,254,0.7187,0.5624,0.8324,0.595,0.7448,0.9819,0.0
3,OLMO3_32B_TRAJ_SFT__5e-5-step10790,25,254,0.6128,0.4853,0.7142,0.4765,0.8564,0.9866,0.0
22,OLMO3_32B_TRAJ__stage1-step64000,25,254,0.7164,0.5636,0.8196,0.6602,0.8656,0.9852,0.0
21,OLMO3_32B_TRAJ__stage1-step512000,25,254,0.6971,0.5506,0.7993,0.5761,0.8073,0.9814,0.0
24,OLMO3_32B_TRAJ__stage1-step8000,25,254,0.9447,-0.1991,1.6833,0.7073,0.7183,0.8963,0.0
25,OLMO3_32B_TRAJ__stage2-ingredient1-step12000,25,254,0.6662,0.5173,0.7844,0.5726,0.808,0.9825,0.0
27,OLMO3_32B_TRAJ__stage2-ingredient1-step4000,25,254,0.7307,0.5818,0.842,0.5826,0.7446,0.983,0.0
29,OLMO3_32B_TRAJ__stage3-step4000,25,254,0.6304,0.4722,0.7492,0.4634,0.81,0.9791,0.0
31,OLMO3_32B_TRAJ_RL__step_050,25,254,0.5977,0.4757,0.6966,0.5115,0.851,0.986,0.0
23,OLMO3_32B_TRAJ__stage1-step656000,25,254,0.6942,0.5374,0.8057,0.5546,0.7982,0.985,0.0
32,OLMO3_32B_TRAJ_RL__step_100,25,254,0.5984,0.4763,0.6977,0.5129,0.8507,0.9862,0.0
26,OLMO3_32B_TRAJ__stage2-ingredient1-step23842,25,254,0.6611,0.5098,0.771,0.5705,0.8351,0.9788,0.0
28,OLMO3_32B_TRAJ__stage3-step11921,25,254,0.6414,0.4987,0.7415,0.4118,0.7946,0.9854,0.0
37,OLMO3_32B_TRAJ_RL__step_350,25,254,0.5989,0.4765,0.6969,0.5155,0.8525,0.986,0.0
36,OLMO3_32B_TRAJ_RL__step_300,25,254,0.5992,0.4766,0.6981,0.5125,0.8521,0.9863,0.0
33,OLMO3_32B_TRAJ_RL__step_150,25,254,0.5979,0.4751,0.6971,0.5127,0.8511,0.9861,0.0
30,OLMO3_32B_TRAJ_DPO__main,25,254,0.5978,0.4759,0.6969,0.5177,0.8511,0.9861,0.0
38,OLMO3_32B_TRAJ_RL__step_400,25,254,0.5987,0.4766,0.6968,0.5149,0.8512,0.9861,0.0
40,OLMO3_32B_TRAJ_RL__step_500,25,254,0.5981,0.4763,0.6956,0.5338,0.8519,0.9861,0.0
35,OLMO3_32B_TRAJ_RL__step_250,25,254,0.599,0.4766,0.6978,0.5127,0.8526,0.9862,0.0
34,OLMO3_32B_TRAJ_RL__step_200,25,254,0.599,0.477,0.6978,0.5149,0.8523,0.9862,0.0
39,OLMO3_32B_TRAJ_RL__step_450,25,254,0.5988,0.4772,0.6965,0.519,0.8518,0.9863,0.0
42,OLMO3_32B_TRAJ_RL__step_600,25,254,0.598,0.4767,0.6956,0.5108,0.8513,0.9861,0.0
41,OLMO3_32B_TRAJ_RL__step_550,25,254,0.5988,0.4776,0.6961,0.5103,0.8529,0.9862,0.0
43,OLMO3_32B_TRAJ_RL__step_650,25,254,0.5988,0.4774,0.6965,0.51,0.8504,0.9861,0.0
44,OLMO3_32B_TRAJ_RL__step_700,25,254,0.5971,0.4747,0.6944,0.5063,0.8474,0.9863,0.0
51,OLMO3_32B_TRAJ_RL31__step_1050,25,254,0.5956,0.4719,0.6935,0.5052,0.8467,0.9865,0.0
53,OLMO3_32B_TRAJ_RL31__step_1500,25,254,0.591,0.4658,0.6907,0.4973,0.8486,0.987,0.0
49,OLMO3_32B_TRAJ_RL31__step_0650,25,254,0.5988,0.4774,0.6965,0.51,0.8504,0.9861,0.0
52,OLMO3_32B_TRAJ_RL31__step_1300,25,254,0.5926,0.467,0.6921,0.5006,0.8497,0.9868,0.0
50,OLMO3_32B_TRAJ_RL31__step_0850,25,254,0.5963,0.4747,0.6938,0.5065,0.8479,0.9862,0.0
46,OLMO3_32B_TRAJ_RL31__step_0050,25,254,0.5977,0.4757,0.6966,0.5115,0.851,0.986,0.0
47,OLMO3_32B_TRAJ_RL31__step_0250,25,254,0.599,0.4766,0.6978,0.5127,0.8526,0.9862,0.0
45,OLMO3_32B_TRAJ_RL__step_750,25,254,0.5972,0.4748,0.6948,0.5071,0.8484,0.9863,0.0
48,OLMO3_32B_TRAJ_RL31__step_0450,25,254,0.5988,0.4772,0.6965,0.519,0.8518,0.9863,0.0
54,OLMO3_32B_TRAJ_RL31__step_1700,25,254,0.5901,0.465,0.6892,0.4982,0.8474,0.9872,0.0
55,OLMO3_32B_TRAJ_RL31__step_1900,25,254,0.5901,0.4649,0.6889,0.5044,0.8474,0.9875,0.0
57,OLMO3_32B_TRAJ_RL31__step_2300,25,254,0.5896,0.4644,0.6891,0.5062,0.8458,0.9874,0.0
56,OLMO3_32B_TRAJ_RL31__step_2100,25,254,0.5898,0.4653,0.6884,0.5052,0.8455,0.9874,0.0
