label,kind,seed,trust,sigma_min,coherence,topo_margin,coverage,level0,untyped,coord_err,coord_r2
circle_clean,circle,0,0.8984871187321976,0.9453153322313612,1.0,0.9453153322313611,1.0,0.6552482536948745,False,0.0024373560008295048,0.9975626439991705
circle_clean,circle,1,0.9132102859747367,0.9614220774052098,1.0,0.9597097300886827,1.0,0.6883352078865032,False,0.0020217397296892203,0.9979782602703108
circle_clean,circle,2,0.9331096074515413,0.9331022632841213,1.0,0.9331022632841213,1.0,0.8124652960598184,False,0.0008992306899043845,0.9991007693100956
circle_clean,circle,3,0.9365045819433365,0.9750171683831366,1.0,0.9697018348579045,1.0,0.7619018926395461,False,0.0014221318881959544,0.998577868111804
circle_clean,circle,4,0.9066666027063899,0.9231346022313034,1.0,0.9231346022313035,1.0,0.7189654704861472,False,0.0018824267590353827,0.9981175732409646
circle_clean,circle,5,0.9474882138890128,0.9339685421209293,1.0,0.9339685421209286,1.0,0.8753960538289647,False,0.00048748238040763336,0.9995125176195924
circle_clean,circle,6,0.8862313093486344,0.9435633158137802,1.0,0.9435633158137801,1.0,0.614035314716014,False,0.0029990390864813588,0.9970009609135186
circle_clean,circle,7,0.8991849401365288,0.9652335972928751,1.0,0.950010451494173,1.0,0.6410387892897221,False,0.0027940710724535522,0.9972059289275464
circle_noisy,circle,0,0.9522512841364184,0.9348819053603113,1.0,0.9348819053603116,1.0,0.89586862442585,False,0.04923419705412113,0.9507658029458789
circle_noisy,circle,1,0.9575721204873401,0.954043249169727,1.0,0.9540432491697268,1.0,0.8845478685387747,False,0.0402401930613695,0.9597598069386305
circle_noisy,circle,2,0.9540145314452109,0.9473059988010566,1.0,0.947305998801057,1.0,0.8806318212467039,False,0.048039277569889016,0.951960722430111
circle_noisy,circle,3,0.9695032345614926,0.9707803493965166,1.0,0.9707803493965163,1.0,0.908875419965878,False,0.04047107624674662,0.9595289237532534
circle_noisy,circle,4,0.9545457262954059,0.9376431656846494,1.0,0.937643165684649,1.0,0.9013812145410423,False,0.045206689324504445,0.9547933106754956
circle_noisy,circle,5,0.9366379996303086,0.9024483919068532,1.0,0.9024483919068529,1.0,0.8851443782160219,False,0.040776272442271444,0.9592237275577286
circle_noisy,circle,6,0.9505503232535716,0.9313540921201449,1.0,0.931354092120145,1.0,0.8946350628647828,False,0.05071122481915691,0.9492887751808431
circle_noisy,circle,7,0.9455729834412301,0.9152498153873765,1.0,0.9152498153873768,1.0,0.9023935369169519,False,0.035358109670204585,0.9646418903297954
arc_90,arc,0,0.400800256913079,0.21194864512681444,1.0,0.21194864512681427,0.6666666666666666,0.3453583222568568,True,2.477914398272639,-1.477914398272639
arc_90,arc,1,0.3959627027106612,0.21205844747290234,1.0,0.21205844747290223,0.625,0.3463221168069594,True,2.2535033683361876,-1.2535033683361876
arc_90,arc,2,0.4030927438847972,0.2146509782203946,1.0,0.21465097822039453,0.6666666666666666,0.3464578589899193,True,1.9197088288365,-0.9197088288365001
arc_90,arc,3,0.4007030028484421,0.210791826669229,1.0,0.21079182666922888,0.6666666666666666,0.3487359418615383,True,2.114631430377918,-1.114631430377918
arc_90,arc,4,0.40960232704947136,0.22405031415363172,1.0,0.22405031415363186,0.6666666666666666,0.34451824100761225,True,2.2902644709758837,-1.2902644709758837
arc_90,arc,5,0.3947595267007857,0.20503582264515133,1.0,0.20503582264515127,0.6666666666666666,0.3420541524147035,True,2.0100344915670925,-1.0100344915670925
arc_90,arc,6,0.40027816736488875,0.2117996433216677,1.0,0.21179964332166776,0.6666666666666666,0.34359776004924353,True,1.880512203843353,-0.880512203843353
arc_90,arc,7,0.397179069924938,0.20851102177270822,1.0,0.20851102177270822,0.6666666666666666,0.34100833837779126,True,2.4103398040546664,-1.4103398040546664
arc_180,arc,0,0.5304723793651064,0.4290164937115464,1.0,0.4290164937115465,0.75,0.30430188195014224,True,0.2570437293571517,0.7429562706428483
arc_180,arc,1,0.5346121095425657,0.4335958533910925,1.0,0.43359585339109274,0.75,0.30971515367862434,True,0.22548478368652192,0.7745152163134781
arc_180,arc,2,0.5316206120259561,0.4381531074146584,1.0,0.4381531074146579,0.7083333333333334,0.3122623211187256,True,0.17597821713606843,0.8240217828639316
